run,seed,end_muscle_pct,survived,failure_cause,time_to_failure_days,rescued_by_ki,pump_failures_count,valve_failures_count,power_outage_count,software_fault_count,human_error_flag,cyber_attack_flag,thrombosis_flag,infection_flag,wakeup_complications,wakeup_mortalities
1,43,19.05,True,survived,,False,0,0,0,0,False,False,False,False,0,0
2,44,18.92,True,survived,,False,0,0,0,0,False,False,False,False,0,0
3,45,19.34,True,survived,,False,0,0,0,0,False,False,False,False,0,0
4,46,19.12,True,survived,,False,0,0,0,0,False,False,False,False,0,0
5,47,20.01,True,survived,,False,0,0,0,0,False,False,False,False,0,0
6,48,18.76,True,survived,,False,0,0,0,0,False,False,False,False,0,0
7,49,19.48,True,survived,,False,0,0,0,0,False,False,False,False,0,0
8,50,19.03,True,survived,,False,0,0,0,0,False,False,False,False,0,0
9,51,17.89,True,survived,,False,0,0,0,0,False,False,False,False,0,0
10,52,19.21,True,survived,,False,0,0,0,0,False,False,False,False,0,0
11,53,19.07,True,survived,,False,0,0,0,0,False,False,False,False,0,0
12,54,18.65,True,survived,,False,0,0,0,0,False,False,False,False,0,0
13,55,20.02,True,survived,,False,0,0,0,0,False,False,False,False,0,0
14,56,19.30,True,survived,,False,0,0,0,0,False,False,False,False,0,0
15,57,19.11,True,survived,,False,0,0,0,0,False,False,False,False,0,0
16,58,18.98,True,survived,,False,0,0,0,0,False,False,False,False,0,0
17,59,19.44,True,survived,,False,0,0,0,0,False,False,False,False,0,0
18,60,19.02,True,survived,,False,0,0,0,0,False,False,False,False,0,0
19,61,17.76,True,survived,,False,0,0,0,0,False,False,False,False,0,0
20,62,19.09,True,survived,,False,0,0,0,0,False,False,False,False,0,0
